Name: arville-b
Location: 48.1694 , 2.5539
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,2.64,323
2020/07/16 21:00UTC,3.16,344
2020/07/17 00:00UTC,2.65,1
2020/07/17 03:00UTC,2.23,357
2020/07/17 06:00UTC,1.14,339
2020/07/17 09:00UTC,2.39,346
2020/07/17 12:00UTC,3.53,354
2020/07/17 15:00UTC,2.95,351
2020/07/17 18:00UTC,2.09,357
2020/07/17 21:00UTC,2.32,349
2020/07/18 00:00UTC,2.97,346
2020/07/18 03:00UTC,2.48,349
2020/07/18 06:00UTC,1.76,344
2020/07/18 09:00UTC,1.57,333
2020/07/18 12:00UTC,2.27,324
2020/07/18 15:00UTC,2.17,324
2020/07/18 18:00UTC,2.12,337
2020/07/18 21:00UTC,2.06,15
2020/07/19 00:00UTC,2.37,9
2020/07/19 03:00UTC,2.56,2
2020/07/19 06:00UTC,1.97,358
2020/07/19 09:00UTC,1.60,358
2020/07/19 12:00UTC,1.96,343
2020/07/19 15:00UTC,3.02,336
2020/07/19 18:00UTC,3.15,352
2020/07/19 21:00UTC,5.41,7
2020/07/20 00:00UTC,4.57,7
2020/07/20 03:00UTC,4.21,9
2020/07/20 06:00UTC,4.02,11
2020/07/20 09:00UTC,3.62,7
2020/07/20 12:00UTC,3.85,10
2020/07/20 15:00UTC,4.09,11
2020/07/20 18:00UTC,4.62,9
2020/07/20 21:00UTC,4.58,12
2020/07/21 00:00UTC,4.52,29
2020/07/21 03:00UTC,3.92,37
2020/07/21 06:00UTC,3.21,35
2020/07/21 09:00UTC,3.02,39
2020/07/21 12:00UTC,2.89,19
2020/07/21 15:00UTC,3.45,19
2020/07/21 18:00UTC,3.02,39
2020/07/21 21:00UTC,3.85,14
2020/07/22 00:00UTC,3.32,47
2020/07/22 03:00UTC,3.03,50
2020/07/22 06:00UTC,2.35,39
2020/07/22 09:00UTC,2.10,50
2020/07/22 12:00UTC,1.95,43
2020/07/22 15:00UTC,0.89,360
2020/07/22 18:00UTC,2.21,314
