Name: arville
Location: 48.1694 , 2.5539
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,2.05,9
2020/07/17 09:00UTC,2.78,22
2020/07/17 12:00UTC,2.88,22
2020/07/17 15:00UTC,2.55,7
2020/07/17 18:00UTC,1.30,14
2020/07/17 21:00UTC,0.68,331
2020/07/18 00:00UTC,1.53,330
2020/07/18 03:00UTC,1.54,2
2020/07/18 06:00UTC,1.75,352
2020/07/18 09:00UTC,1.93,350
2020/07/18 12:00UTC,2.16,330
2020/07/18 15:00UTC,1.66,322
2020/07/18 18:00UTC,1.47,321
2020/07/18 21:00UTC,1.26,14
2020/07/19 00:00UTC,1.47,24
2020/07/19 03:00UTC,1.77,59
2020/07/19 06:00UTC,1.39,40
2020/07/19 09:00UTC,0.83,43
2020/07/19 12:00UTC,1.34,333
2020/07/19 15:00UTC,1.35,339
2020/07/19 18:00UTC,1.48,322
2020/07/19 21:00UTC,1.68,37
2020/07/20 00:00UTC,3.18,28
2020/07/20 03:00UTC,2.90,21
2020/07/20 06:00UTC,3.70,27
2020/07/20 09:00UTC,3.61,31
2020/07/20 12:00UTC,3.24,16
2020/07/20 15:00UTC,4.18,6
2020/07/20 18:00UTC,5.54,19
2020/07/20 21:00UTC,4.26,28
2020/07/21 00:00UTC,3.65,30
2020/07/21 03:00UTC,3.62,18
2020/07/21 06:00UTC,4.26,25
2020/07/21 09:00UTC,4.91,34
2020/07/21 12:00UTC,4.55,39
2020/07/21 15:00UTC,4.69,33
2020/07/21 18:00UTC,5.22,28
2020/07/21 21:00UTC,4.43,34
2020/07/22 00:00UTC,4.64,39
2020/07/22 03:00UTC,4.44,35
2020/07/22 06:00UTC,5.08,47
2020/07/22 09:00UTC,4.82,52
2020/07/22 12:00UTC,5.74,52
2020/07/22 15:00UTC,5.27,52
2020/07/22 18:00UTC,3.82,43
2020/07/22 21:00UTC,3.67,28
2020/07/23 00:00UTC,3.11,27
2020/07/23 03:00UTC,2.77,20
2020/07/23 06:00UTC,2.59,28
2020/07/23 09:00UTC,3.06,8
2020/07/23 12:00UTC,3.15,13
2020/07/23 15:00UTC,3.09,358
2020/07/23 18:00UTC,2.03,23
2020/07/23 21:00UTC,2.90,7
2020/07/24 00:00UTC,2.84,15
2020/07/24 03:00UTC,1.88,11
2020/07/24 06:00UTC,0.94,28
2020/07/24 09:00UTC,0.46,136
2020/07/24 12:00UTC,2.48,233
2020/07/24 15:00UTC,3.44,246
2020/07/24 18:00UTC,1.63,257
2020/07/24 21:00UTC,3.61,218
2020/07/25 00:00UTC,2.12,258
2020/07/25 03:00UTC,3.15,224
2020/07/25 06:00UTC,5.04,214
2020/07/25 09:00UTC,6.14,209
2020/07/25 12:00UTC,8.04,215
2020/07/25 15:00UTC,7.31,244
2020/07/25 18:00UTC,5.13,261
2020/07/25 21:00UTC,3.54,236
2020/07/26 00:00UTC,4.23,232
2020/07/26 03:00UTC,4.69,224
2020/07/26 06:00UTC,5.22,227
2020/07/26 09:00UTC,5.99,234
2020/07/26 12:00UTC,6.70,226
2020/07/26 15:00UTC,6.32,226
2020/07/26 18:00UTC,5.61,223
2020/07/26 21:00UTC,4.00,225
2020/07/27 00:00UTC,3.90,244
2020/07/27 03:00UTC,3.81,236
2020/07/27 06:00UTC,4.94,231
