Name: boissy-la-riviere-b
Location: 48.3795 , 2.1776
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,3.16,336
2020/07/16 21:00UTC,3.47,345
2020/07/17 00:00UTC,2.65,356
2020/07/17 03:00UTC,2.08,341
2020/07/17 06:00UTC,1.08,318
2020/07/17 09:00UTC,2.31,333
2020/07/17 12:00UTC,2.88,347
2020/07/17 15:00UTC,2.66,3
2020/07/17 18:00UTC,2.03,9
2020/07/17 21:00UTC,3.04,353
2020/07/18 00:00UTC,3.16,342
2020/07/18 03:00UTC,2.72,337
2020/07/18 06:00UTC,1.83,333
2020/07/18 09:00UTC,1.42,329
2020/07/18 12:00UTC,1.81,332
2020/07/18 15:00UTC,2.35,350
2020/07/18 18:00UTC,1.87,5
2020/07/18 21:00UTC,1.87,13
2020/07/19 00:00UTC,3.09,7
2020/07/19 03:00UTC,2.74,353
2020/07/19 06:00UTC,2.04,346
2020/07/19 09:00UTC,1.72,353
2020/07/19 12:00UTC,1.96,344
2020/07/19 15:00UTC,2.89,344
2020/07/19 18:00UTC,3.27,1
2020/07/19 21:00UTC,5.75,358
2020/07/20 00:00UTC,4.47,10
2020/07/20 03:00UTC,4.32,12
2020/07/20 06:00UTC,4.26,13
2020/07/20 09:00UTC,3.91,10
2020/07/20 12:00UTC,3.87,12
2020/07/20 15:00UTC,4.01,17
2020/07/20 18:00UTC,4.51,22
2020/07/20 21:00UTC,4.62,9
2020/07/21 00:00UTC,4.70,29
2020/07/21 03:00UTC,3.86,33
2020/07/21 06:00UTC,3.06,29
2020/07/21 09:00UTC,2.91,38
2020/07/21 12:00UTC,2.43,37
2020/07/21 15:00UTC,3.55,25
2020/07/21 18:00UTC,3.93,11
2020/07/21 21:00UTC,3.52,42
2020/07/22 00:00UTC,3.11,27
2020/07/22 03:00UTC,2.91,55
2020/07/22 06:00UTC,2.17,33
2020/07/22 09:00UTC,1.99,49
2020/07/22 12:00UTC,1.96,59
2020/07/22 15:00UTC,0.35,90
2020/07/22 18:00UTC,1.78,237
