Name: boissy-la-riviere
Location: 48.3795 , 2.1776
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,1.54,357
2020/07/17 09:00UTC,2.47,13
2020/07/17 12:00UTC,2.31,360
2020/07/17 15:00UTC,2.71,337
2020/07/17 18:00UTC,2.20,324
2020/07/17 21:00UTC,1.98,331
2020/07/18 00:00UTC,2.47,337
2020/07/18 03:00UTC,2.23,346
2020/07/18 06:00UTC,2.02,335
2020/07/18 09:00UTC,1.77,315
2020/07/18 12:00UTC,2.18,314
2020/07/18 15:00UTC,1.92,313
2020/07/18 18:00UTC,1.96,307
2020/07/18 21:00UTC,2.10,342
2020/07/19 00:00UTC,2.53,39
2020/07/19 03:00UTC,1.94,40
2020/07/19 06:00UTC,1.36,59
2020/07/19 09:00UTC,1.03,55
2020/07/19 12:00UTC,1.26,301
2020/07/19 15:00UTC,1.95,305
2020/07/19 18:00UTC,1.78,330
2020/07/19 21:00UTC,3.02,359
2020/07/20 00:00UTC,3.26,17
2020/07/20 03:00UTC,3.08,11
2020/07/20 06:00UTC,4.15,26
2020/07/20 09:00UTC,4.32,29
2020/07/20 12:00UTC,3.54,29
2020/07/20 15:00UTC,4.47,19
2020/07/20 18:00UTC,4.92,14
2020/07/20 21:00UTC,3.65,25
2020/07/21 00:00UTC,3.65,33
2020/07/21 03:00UTC,3.64,22
2020/07/21 06:00UTC,4.32,27
2020/07/21 09:00UTC,5.22,38
2020/07/21 12:00UTC,4.83,42
2020/07/21 15:00UTC,4.67,42
2020/07/21 18:00UTC,4.49,48
2020/07/21 21:00UTC,4.41,43
2020/07/22 00:00UTC,4.73,43
2020/07/22 03:00UTC,4.49,41
2020/07/22 06:00UTC,4.99,51
2020/07/22 09:00UTC,4.99,55
2020/07/22 12:00UTC,5.45,57
2020/07/22 15:00UTC,5.09,57
2020/07/22 18:00UTC,3.57,54
2020/07/22 21:00UTC,3.32,40
2020/07/23 00:00UTC,3.14,24
2020/07/23 03:00UTC,3.06,25
2020/07/23 06:00UTC,2.57,23
2020/07/23 09:00UTC,3.06,14
2020/07/23 12:00UTC,3.11,13
2020/07/23 15:00UTC,3.04,348
2020/07/23 18:00UTC,3.03,341
2020/07/23 21:00UTC,3.94,347
2020/07/24 00:00UTC,2.79,12
2020/07/24 03:00UTC,1.85,8
2020/07/24 06:00UTC,0.76,2
2020/07/24 09:00UTC,0.82,199
2020/07/24 12:00UTC,3.07,228
2020/07/24 15:00UTC,4.03,239
2020/07/24 18:00UTC,2.05,236
2020/07/24 21:00UTC,5.18,286
2020/07/25 00:00UTC,3.95,245
2020/07/25 03:00UTC,3.62,233
2020/07/25 06:00UTC,5.12,213
2020/07/25 09:00UTC,6.70,214
2020/07/25 12:00UTC,8.15,224
2020/07/25 15:00UTC,7.16,254
2020/07/25 18:00UTC,5.40,250
2020/07/25 21:00UTC,3.63,248
2020/07/26 00:00UTC,4.66,229
2020/07/26 03:00UTC,4.87,230
2020/07/26 06:00UTC,5.07,229
2020/07/26 09:00UTC,6.10,234
2020/07/26 12:00UTC,6.39,235
2020/07/26 15:00UTC,6.04,240
2020/07/26 18:00UTC,5.00,234
2020/07/26 21:00UTC,3.36,250
2020/07/27 00:00UTC,4.12,251
2020/07/27 03:00UTC,3.98,244
2020/07/27 06:00UTC,5.12,238
