Name: guitrancourt-b
Location: 49.0033 , 1.79
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,4.25,333
2020/07/16 21:00UTC,3.23,333
2020/07/17 00:00UTC,1.86,321
2020/07/17 03:00UTC,1.70,298
2020/07/17 06:00UTC,1.15,274
2020/07/17 09:00UTC,2.14,318
2020/07/17 12:00UTC,2.47,342
2020/07/17 15:00UTC,3.31,326
2020/07/17 18:00UTC,4.15,340
2020/07/17 21:00UTC,3.50,342
2020/07/18 00:00UTC,2.46,326
2020/07/18 03:00UTC,1.94,314
2020/07/18 06:00UTC,1.27,290
2020/07/18 09:00UTC,1.62,317
2020/07/18 12:00UTC,0.93,318
2020/07/18 15:00UTC,0.83,276
2020/07/18 18:00UTC,4.11,337
2020/07/18 21:00UTC,3.74,351
2020/07/19 00:00UTC,2.72,340
2020/07/19 03:00UTC,2.00,322
2020/07/19 06:00UTC,1.61,314
2020/07/19 09:00UTC,2.06,321
2020/07/19 12:00UTC,1.73,317
2020/07/19 15:00UTC,2.31,328
2020/07/19 18:00UTC,5.85,345
2020/07/19 21:00UTC,4.42,5
2020/07/20 00:00UTC,4.67,21
2020/07/20 03:00UTC,4.17,20
2020/07/20 06:00UTC,3.73,19
2020/07/20 09:00UTC,3.95,21
2020/07/20 12:00UTC,3.58,19
2020/07/20 15:00UTC,3.55,43
2020/07/20 18:00UTC,6.19,7
2020/07/20 21:00UTC,5.66,17
2020/07/21 00:00UTC,4.32,32
2020/07/21 03:00UTC,3.17,33
2020/07/21 06:00UTC,2.00,32
2020/07/21 09:00UTC,2.21,39
2020/07/21 12:00UTC,2.02,38
2020/07/21 15:00UTC,1.65,66
2020/07/21 18:00UTC,2.40,33
2020/07/21 21:00UTC,3.21,20
2020/07/22 00:00UTC,3.94,47
2020/07/22 03:00UTC,2.61,70
2020/07/22 06:00UTC,1.57,59
2020/07/22 09:00UTC,1.65,66
2020/07/22 12:00UTC,1.78,63
2020/07/22 15:00UTC,2.43,22
2020/07/22 18:00UTC,4.32,14
