Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,1.18,283
2020/07/17 09:00UTC,1.64,314
2020/07/17 12:00UTC,2.68,327
2020/07/17 15:00UTC,2.55,307
2020/07/17 18:00UTC,2.92,310
2020/07/17 21:00UTC,2.11,324
2020/07/18 00:00UTC,1.78,331
2020/07/18 03:00UTC,1.73,309
2020/07/18 06:00UTC,1.52,297
2020/07/18 09:00UTC,2.05,303
2020/07/18 12:00UTC,1.91,317
2020/07/18 15:00UTC,2.39,323
2020/07/18 18:00UTC,2.94,327
2020/07/18 21:00UTC,3.18,11
2020/07/19 00:00UTC,1.39,17
2020/07/19 03:00UTC,1.17,356
2020/07/19 06:00UTC,1.13,345
2020/07/19 09:00UTC,0.64,289
2020/07/19 12:00UTC,2.50,280
2020/07/19 15:00UTC,2.89,294
2020/07/19 18:00UTC,3.87,330
2020/07/19 21:00UTC,3.36,4
2020/07/20 00:00UTC,2.79,12
2020/07/20 03:00UTC,3.40,24
2020/07/20 06:00UTC,3.76,26
2020/07/20 09:00UTC,4.39,22
2020/07/20 12:00UTC,4.41,31
2020/07/20 15:00UTC,3.80,20
2020/07/20 18:00UTC,3.72,15
2020/07/20 21:00UTC,4.73,29
2020/07/21 00:00UTC,4.08,37
2020/07/21 03:00UTC,3.14,35
2020/07/21 06:00UTC,3.69,33
2020/07/21 09:00UTC,4.48,42
2020/07/21 12:00UTC,4.61,39
2020/07/21 15:00UTC,4.78,37
2020/07/21 18:00UTC,4.74,36
2020/07/21 21:00UTC,4.50,38
2020/07/22 00:00UTC,4.67,49
2020/07/22 03:00UTC,4.04,48
2020/07/22 06:00UTC,4.44,54
2020/07/22 09:00UTC,4.90,66
2020/07/22 12:00UTC,4.72,56
2020/07/22 15:00UTC,4.50,48
2020/07/22 18:00UTC,3.90,38
2020/07/22 21:00UTC,3.89,39
2020/07/23 00:00UTC,3.22,29
2020/07/23 03:00UTC,2.71,34
2020/07/23 06:00UTC,2.24,19
2020/07/23 09:00UTC,2.79,17
2020/07/23 12:00UTC,2.94,7
2020/07/23 15:00UTC,3.48,349
2020/07/23 18:00UTC,4.61,349
2020/07/23 21:00UTC,3.88,348
2020/07/24 00:00UTC,2.02,13
2020/07/24 03:00UTC,1.36,346
2020/07/24 06:00UTC,1.16,336
2020/07/24 09:00UTC,0.98,174
2020/07/24 12:00UTC,2.53,225
2020/07/24 15:00UTC,4.33,232
2020/07/24 18:00UTC,2.93,233
2020/07/24 21:00UTC,4.61,288
2020/07/25 00:00UTC,4.74,235
2020/07/25 03:00UTC,5.17,222
2020/07/25 06:00UTC,5.90,217
2020/07/25 09:00UTC,6.26,226
2020/07/25 12:00UTC,5.89,254
2020/07/25 15:00UTC,5.60,276
2020/07/25 18:00UTC,4.64,259
2020/07/25 21:00UTC,4.56,238
2020/07/26 00:00UTC,5.61,232
2020/07/26 03:00UTC,5.09,231
2020/07/26 06:00UTC,5.22,230
2020/07/26 09:00UTC,5.92,239
2020/07/26 12:00UTC,6.51,236
2020/07/26 15:00UTC,5.79,241
2020/07/26 18:00UTC,4.24,254
2020/07/26 21:00UTC,3.15,271
2020/07/27 00:00UTC,2.90,248
2020/07/27 03:00UTC,4.62,235
2020/07/27 06:00UTC,5.29,241
