Name: lieusaint-b
Location: 48.6192 , 2.5492
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,3.57,334
2020/07/16 21:00UTC,3.41,338
2020/07/17 00:00UTC,2.49,348
2020/07/17 03:00UTC,1.84,337
2020/07/17 06:00UTC,1.04,311
2020/07/17 09:00UTC,2.27,334
2020/07/17 12:00UTC,2.93,338
2020/07/17 15:00UTC,3.07,337
2020/07/17 18:00UTC,2.43,348
2020/07/17 21:00UTC,3.35,346
2020/07/18 00:00UTC,2.99,342
2020/07/18 03:00UTC,2.60,330
2020/07/18 06:00UTC,1.67,325
2020/07/18 09:00UTC,1.48,319
2020/07/18 12:00UTC,1.90,307
2020/07/18 15:00UTC,2.44,325
2020/07/18 18:00UTC,2.19,329
2020/07/18 21:00UTC,2.24,338
2020/07/19 00:00UTC,3.21,359
2020/07/19 03:00UTC,2.60,346
2020/07/19 06:00UTC,1.95,337
2020/07/19 09:00UTC,1.79,340
2020/07/19 12:00UTC,1.86,329
2020/07/19 15:00UTC,3.00,337
2020/07/19 18:00UTC,3.88,341
2020/07/19 21:00UTC,5.46,1
2020/07/20 00:00UTC,4.58,10
2020/07/20 03:00UTC,4.28,11
2020/07/20 06:00UTC,4.23,11
2020/07/20 09:00UTC,3.85,9
2020/07/20 12:00UTC,3.80,8
2020/07/20 15:00UTC,4.27,4
2020/07/20 18:00UTC,4.30,21
2020/07/20 21:00UTC,4.63,21
2020/07/21 00:00UTC,4.83,30
2020/07/21 03:00UTC,3.69,35
2020/07/21 06:00UTC,2.82,28
2020/07/21 09:00UTC,2.58,34
2020/07/21 12:00UTC,2.06,30
2020/07/21 15:00UTC,2.56,49
2020/07/21 18:00UTC,4.36,7
2020/07/21 21:00UTC,3.35,26
2020/07/22 00:00UTC,3.31,51
2020/07/22 03:00UTC,2.88,58
2020/07/22 06:00UTC,2.03,50
2020/07/22 09:00UTC,1.64,59
2020/07/22 12:00UTC,1.34,63
2020/07/22 15:00UTC,0.76,190
2020/07/22 18:00UTC,1.26,233
