Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,1.19,8
2020/07/17 09:00UTC,2.05,19
2020/07/17 12:00UTC,2.15,19
2020/07/17 15:00UTC,1.77,346
2020/07/17 18:00UTC,1.40,341
2020/07/17 21:00UTC,1.25,339
2020/07/18 00:00UTC,1.59,356
2020/07/18 03:00UTC,1.60,8
2020/07/18 06:00UTC,1.31,346
2020/07/18 09:00UTC,1.48,324
2020/07/18 12:00UTC,1.71,310
2020/07/18 15:00UTC,1.21,306
2020/07/18 18:00UTC,0.88,338
2020/07/18 21:00UTC,1.71,51
2020/07/19 00:00UTC,2.49,40
2020/07/19 03:00UTC,2.34,44
2020/07/19 06:00UTC,1.59,51
2020/07/19 09:00UTC,1.04,44
2020/07/19 12:00UTC,1.35,302
2020/07/19 15:00UTC,1.56,292
2020/07/19 18:00UTC,2.68,304
2020/07/19 21:00UTC,3.00,28
2020/07/20 00:00UTC,3.19,23
2020/07/20 03:00UTC,3.39,26
2020/07/20 06:00UTC,4.12,25
2020/07/20 09:00UTC,4.29,31
2020/07/20 12:00UTC,4.09,33
2020/07/20 15:00UTC,4.24,20
2020/07/20 18:00UTC,4.52,23
2020/07/20 21:00UTC,4.16,31
2020/07/21 00:00UTC,4.06,30
2020/07/21 03:00UTC,3.46,21
2020/07/21 06:00UTC,4.05,27
2020/07/21 09:00UTC,5.12,37
2020/07/21 12:00UTC,4.89,40
2020/07/21 15:00UTC,4.84,37
2020/07/21 18:00UTC,4.78,37
2020/07/21 21:00UTC,4.53,37
2020/07/22 00:00UTC,4.78,40
2020/07/22 03:00UTC,4.07,36
2020/07/22 06:00UTC,4.64,51
2020/07/22 09:00UTC,4.81,56
2020/07/22 12:00UTC,5.29,55
2020/07/22 15:00UTC,5.06,54
2020/07/22 18:00UTC,3.83,48
2020/07/22 21:00UTC,3.60,35
2020/07/23 00:00UTC,3.11,32
2020/07/23 03:00UTC,2.85,27
2020/07/23 06:00UTC,2.54,33
2020/07/23 09:00UTC,2.89,15
2020/07/23 12:00UTC,3.35,24
2020/07/23 15:00UTC,2.83,10
2020/07/23 18:00UTC,2.90,32
2020/07/23 21:00UTC,3.08,22
2020/07/24 00:00UTC,2.87,22
2020/07/24 03:00UTC,1.74,10
2020/07/24 06:00UTC,0.62,20
2020/07/24 09:00UTC,0.24,228
2020/07/24 12:00UTC,2.87,235
2020/07/24 15:00UTC,3.65,227
2020/07/24 18:00UTC,2.58,234
2020/07/24 21:00UTC,3.01,207
2020/07/25 00:00UTC,4.00,252
2020/07/25 03:00UTC,3.87,233
2020/07/25 06:00UTC,4.35,210
2020/07/25 09:00UTC,6.48,214
2020/07/25 12:00UTC,8.29,226
2020/07/25 15:00UTC,7.24,257
2020/07/25 18:00UTC,4.60,253
2020/07/25 21:00UTC,3.60,246
2020/07/26 00:00UTC,4.50,232
2020/07/26 03:00UTC,5.03,231
2020/07/26 06:00UTC,5.16,232
2020/07/26 09:00UTC,5.92,235
2020/07/26 12:00UTC,6.21,237
2020/07/26 15:00UTC,5.70,234
2020/07/26 18:00UTC,4.86,234
2020/07/26 21:00UTC,3.24,248
2020/07/27 00:00UTC,3.85,249
2020/07/27 03:00UTC,4.02,244
2020/07/27 06:00UTC,4.87,236
