Name: lvs-pussay-b
Location: 48.3394 , 1.9727
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,3.07,338
2020/07/16 21:00UTC,3.51,348
2020/07/17 00:00UTC,2.66,358
2020/07/17 03:00UTC,2.12,340
2020/07/17 06:00UTC,1.07,319
2020/07/17 09:00UTC,2.26,332
2020/07/17 12:00UTC,2.67,347
2020/07/17 15:00UTC,2.41,17
2020/07/17 18:00UTC,2.03,19
2020/07/17 21:00UTC,2.89,358
2020/07/18 00:00UTC,3.13,343
2020/07/18 03:00UTC,2.74,338
2020/07/18 06:00UTC,1.84,335
2020/07/18 09:00UTC,1.39,333
2020/07/18 12:00UTC,1.78,338
2020/07/18 15:00UTC,2.24,356
2020/07/18 18:00UTC,1.43,22
2020/07/18 21:00UTC,2.14,23
2020/07/19 00:00UTC,3.13,11
2020/07/19 03:00UTC,2.74,356
2020/07/19 06:00UTC,2.02,348
2020/07/19 09:00UTC,1.72,357
2020/07/19 12:00UTC,1.95,346
2020/07/19 15:00UTC,2.38,343
2020/07/19 18:00UTC,3.55,2
2020/07/19 21:00UTC,5.98,356
2020/07/20 00:00UTC,4.44,11
2020/07/20 03:00UTC,4.37,14
2020/07/20 06:00UTC,4.30,14
2020/07/20 09:00UTC,3.96,12
2020/07/20 12:00UTC,3.87,13
2020/07/20 15:00UTC,3.85,19
2020/07/20 18:00UTC,4.32,26
2020/07/20 21:00UTC,4.85,7
2020/07/21 00:00UTC,4.67,28
2020/07/21 03:00UTC,3.92,32
2020/07/21 06:00UTC,3.11,30
2020/07/21 09:00UTC,3.05,39
2020/07/21 12:00UTC,2.66,41
2020/07/21 15:00UTC,3.86,22
2020/07/21 18:00UTC,3.31,15
2020/07/21 21:00UTC,3.53,49
2020/07/22 00:00UTC,3.23,22
2020/07/22 03:00UTC,2.94,56
2020/07/22 06:00UTC,2.20,32
2020/07/22 09:00UTC,2.09,47
2020/07/22 12:00UTC,2.23,58
2020/07/22 15:00UTC,1.25,46
2020/07/22 18:00UTC,1.03,230
