Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,1.60,351
2020/07/17 09:00UTC,2.45,7
2020/07/17 12:00UTC,2.47,349
2020/07/17 15:00UTC,3.19,335
2020/07/17 18:00UTC,2.82,322
2020/07/17 21:00UTC,2.50,334
2020/07/18 00:00UTC,2.93,336
2020/07/18 03:00UTC,2.64,339
2020/07/18 06:00UTC,2.38,332
2020/07/18 09:00UTC,1.96,310
2020/07/18 12:00UTC,2.41,316
2020/07/18 15:00UTC,2.33,324
2020/07/18 18:00UTC,2.34,312
2020/07/18 21:00UTC,3.04,333
2020/07/19 00:00UTC,2.61,36
2020/07/19 03:00UTC,1.80,31
2020/07/19 06:00UTC,1.27,59
2020/07/19 09:00UTC,0.94,52
2020/07/19 12:00UTC,1.35,298
2020/07/19 15:00UTC,2.51,311
2020/07/19 18:00UTC,1.76,352
2020/07/19 21:00UTC,3.62,346
2020/07/20 00:00UTC,3.35,13
2020/07/20 03:00UTC,3.12,3
2020/07/20 06:00UTC,4.17,25
2020/07/20 09:00UTC,4.31,28
2020/07/20 12:00UTC,3.43,26
2020/07/20 15:00UTC,4.57,17
2020/07/20 18:00UTC,4.98,10
2020/07/20 21:00UTC,3.47,21
2020/07/21 00:00UTC,3.58,34
2020/07/21 03:00UTC,3.73,24
2020/07/21 06:00UTC,4.40,28
2020/07/21 09:00UTC,5.21,39
2020/07/21 12:00UTC,4.77,42
2020/07/21 15:00UTC,4.57,43
2020/07/21 18:00UTC,4.38,53
2020/07/21 21:00UTC,4.40,47
2020/07/22 00:00UTC,4.73,44
2020/07/22 03:00UTC,4.68,43
2020/07/22 06:00UTC,5.07,51
2020/07/22 09:00UTC,5.09,56
2020/07/22 12:00UTC,5.39,59
2020/07/22 15:00UTC,4.99,59
2020/07/22 18:00UTC,3.45,57
2020/07/22 21:00UTC,3.23,43
2020/07/23 00:00UTC,3.19,22
2020/07/23 03:00UTC,3.11,25
2020/07/23 06:00UTC,2.62,19
2020/07/23 09:00UTC,3.10,15
2020/07/23 12:00UTC,2.99,8
2020/07/23 15:00UTC,3.38,339
2020/07/23 18:00UTC,4.13,326
2020/07/23 21:00UTC,4.83,340
2020/07/24 00:00UTC,2.81,5
2020/07/24 03:00UTC,1.87,6
2020/07/24 06:00UTC,0.97,354
2020/07/24 09:00UTC,1.06,201
2020/07/24 12:00UTC,3.10,228
2020/07/24 15:00UTC,4.14,242
2020/07/24 18:00UTC,2.09,232
2020/07/24 21:00UTC,7.55,298
2020/07/25 00:00UTC,4.20,244
2020/07/25 03:00UTC,3.70,234
2020/07/25 06:00UTC,5.41,214
2020/07/25 09:00UTC,6.69,214
2020/07/25 12:00UTC,7.84,227
2020/07/25 15:00UTC,7.04,257
2020/07/25 18:00UTC,5.72,250
2020/07/25 21:00UTC,3.78,251
2020/07/26 00:00UTC,4.82,230
2020/07/26 03:00UTC,4.73,231
2020/07/26 06:00UTC,4.88,228
2020/07/26 09:00UTC,6.06,235
2020/07/26 12:00UTC,6.28,236
2020/07/26 15:00UTC,5.96,246
2020/07/26 18:00UTC,4.96,235
2020/07/26 21:00UTC,3.46,257
2020/07/27 00:00UTC,4.15,255
2020/07/27 03:00UTC,3.89,245
2020/07/27 06:00UTC,5.12,241
