Name: parc-du-gatinais-b
Location: 48.1399 , 2.5616
Issued: 2020/07/16 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/16 18:00UTC,2.57,321
2020/07/16 21:00UTC,3.13,344
2020/07/17 00:00UTC,2.66,1
2020/07/17 03:00UTC,2.26,358
2020/07/17 06:00UTC,1.15,342
2020/07/17 09:00UTC,2.40,348
2020/07/17 12:00UTC,3.59,355
2020/07/17 15:00UTC,2.90,353
2020/07/17 18:00UTC,2.07,358
2020/07/17 21:00UTC,2.22,349
2020/07/18 00:00UTC,2.92,347
2020/07/18 03:00UTC,2.45,350
2020/07/18 06:00UTC,1.75,345
2020/07/18 09:00UTC,1.59,334
2020/07/18 12:00UTC,2.32,325
2020/07/18 15:00UTC,2.16,324
2020/07/18 18:00UTC,2.08,337
2020/07/18 21:00UTC,2.14,18
2020/07/19 00:00UTC,2.28,10
2020/07/19 03:00UTC,2.52,4
2020/07/19 06:00UTC,1.96,359
2020/07/19 09:00UTC,1.58,359
2020/07/19 12:00UTC,1.98,343
2020/07/19 15:00UTC,2.99,335
2020/07/19 18:00UTC,3.18,352
2020/07/19 21:00UTC,5.39,8
2020/07/20 00:00UTC,4.58,7
2020/07/20 03:00UTC,4.20,8
2020/07/20 06:00UTC,3.99,11
2020/07/20 09:00UTC,3.60,7
2020/07/20 12:00UTC,3.85,9
2020/07/20 15:00UTC,4.04,11
2020/07/20 18:00UTC,4.62,8
2020/07/20 21:00UTC,4.63,11
2020/07/21 00:00UTC,4.49,29
2020/07/21 03:00UTC,3.94,37
2020/07/21 06:00UTC,3.23,36
2020/07/21 09:00UTC,3.06,39
2020/07/21 12:00UTC,2.99,19
2020/07/21 15:00UTC,3.56,17
2020/07/21 18:00UTC,2.94,44
2020/07/21 21:00UTC,3.84,13
2020/07/22 00:00UTC,3.34,47
2020/07/22 03:00UTC,3.04,50
2020/07/22 06:00UTC,2.36,39
2020/07/22 09:00UTC,2.13,50
2020/07/22 12:00UTC,2.02,41
2020/07/22 15:00UTC,1.11,4
2020/07/22 18:00UTC,2.36,318
