Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/17 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/17 06:00UTC,2.12,8
2020/07/17 09:00UTC,2.80,21
2020/07/17 12:00UTC,2.92,22
2020/07/17 15:00UTC,2.66,9
2020/07/17 18:00UTC,1.34,18
2020/07/17 21:00UTC,0.65,332
2020/07/18 00:00UTC,1.53,328
2020/07/18 03:00UTC,1.52,0
2020/07/18 06:00UTC,1.79,351
2020/07/18 09:00UTC,1.99,351
2020/07/18 12:00UTC,2.21,331
2020/07/18 15:00UTC,1.73,325
2020/07/18 18:00UTC,1.54,323
2020/07/18 21:00UTC,1.32,9
2020/07/19 00:00UTC,1.38,22
2020/07/19 03:00UTC,1.70,60
2020/07/19 06:00UTC,1.36,37
2020/07/19 09:00UTC,0.79,41
2020/07/19 12:00UTC,1.36,334
2020/07/19 15:00UTC,1.44,343
2020/07/19 18:00UTC,1.39,327
2020/07/19 21:00UTC,1.59,37
2020/07/20 00:00UTC,3.17,28
2020/07/20 03:00UTC,2.85,20
2020/07/20 06:00UTC,3.64,27
2020/07/20 09:00UTC,3.52,31
2020/07/20 12:00UTC,3.18,13
2020/07/20 15:00UTC,4.17,4
2020/07/20 18:00UTC,5.62,18
2020/07/20 21:00UTC,4.28,28
2020/07/21 00:00UTC,3.62,30
2020/07/21 03:00UTC,3.63,18
2020/07/21 06:00UTC,4.27,24
2020/07/21 09:00UTC,4.87,33
2020/07/21 12:00UTC,4.51,39
2020/07/21 15:00UTC,4.66,32
2020/07/21 18:00UTC,5.24,28
2020/07/21 21:00UTC,4.41,34
2020/07/22 00:00UTC,4.63,40
2020/07/22 03:00UTC,4.47,35
2020/07/22 06:00UTC,5.11,47
2020/07/22 09:00UTC,4.82,52
2020/07/22 12:00UTC,5.77,51
2020/07/22 15:00UTC,5.27,52
2020/07/22 18:00UTC,3.81,43
2020/07/22 21:00UTC,3.69,27
2020/07/23 00:00UTC,3.11,27
2020/07/23 03:00UTC,2.75,20
2020/07/23 06:00UTC,2.58,28
2020/07/23 09:00UTC,3.07,7
2020/07/23 12:00UTC,3.13,12
2020/07/23 15:00UTC,3.14,356
2020/07/23 18:00UTC,1.99,20
2020/07/23 21:00UTC,2.94,5
2020/07/24 00:00UTC,2.84,14
2020/07/24 03:00UTC,1.88,10
2020/07/24 06:00UTC,0.99,27
2020/07/24 09:00UTC,0.48,133
2020/07/24 12:00UTC,2.43,233
2020/07/24 15:00UTC,3.41,247
2020/07/24 18:00UTC,1.61,260
2020/07/24 21:00UTC,3.65,219
2020/07/25 00:00UTC,1.96,259
2020/07/25 03:00UTC,3.11,223
2020/07/25 06:00UTC,5.11,214
2020/07/25 09:00UTC,6.10,209
2020/07/25 12:00UTC,8.00,214
2020/07/25 15:00UTC,7.29,243
2020/07/25 18:00UTC,5.18,262
2020/07/25 21:00UTC,3.53,235
2020/07/26 00:00UTC,4.22,232
2020/07/26 03:00UTC,4.66,223
2020/07/26 06:00UTC,5.22,227
2020/07/26 09:00UTC,5.99,234
2020/07/26 12:00UTC,6.73,225
2020/07/26 15:00UTC,6.32,226
2020/07/26 18:00UTC,5.68,222
2020/07/26 21:00UTC,4.07,224
2020/07/27 00:00UTC,3.87,244
2020/07/27 03:00UTC,3.78,235
2020/07/27 06:00UTC,4.93,230
